103,"KERORO军曹","https://www.bilibili.com/bangumi/play/ss103","http://i0.hdslb.com/bfs/bangumi/639c7ae6c88be7739ff18b46940be9592a215011.jpg",1080921600,"958.8万","18.6",9.8,"https://www.bilibili.com/bangumi/media/md103","《Keroro军曹》是日本的一部喜剧动漫作品，原作漫画版作者为吉崎观音，原是针对成人读者的漫画，其後由日升动画公司改编的动画却吸引大量儿童读者。动画版于2004年4月3日至2011年4月3日在日本播出，一共七季358集，目前已经全部播映完毕。而军曹亦评为无线版《福星小子》。香港无线电视于 2006年7月3日首播，目前已播到第七季r","萌系,搞笑,泡面","日向秋：平松晶子,川上とも子,ギロロ：中田譲治,サブロー：石田彰,ケロロ軍曹：渡辺久美子,日向冬树：桑島法子,日向夏美：斎藤千和","演出：近藤一英/三好正人/渡邊淳一/満仲勧/山本裕介/北村真咲/畠山茂樹/米田和博/則座誠/鵜飼ゆうき/横田和善,系列构成：池田眞美子,音乐：鈴木さえ子,色彩设计：中里智恵,原作：吉崎観音,脚本：菱田正和/小林靖子/山口宏/下山健人/米田和博/アベユーイチ/満仲勧/柿村イサナ/笠原邦暁,总作画监督：小池智史,分镜：江島泰男/東海林真一/近藤一英/中村次郎/三好正人/片山一良/山本裕介/笹木信作/畠"
106,"迷你偶像","https://www.bilibili.com/bangumi/play/ss106","http://i0.hdslb.com/bfs/bangumi/c536edb991336c96e282b23204bc1abc561df386.jpg",1356969600,"360.3万","2.9",9.5,"https://www.bilibili.com/bangumi/media/md106","《ぷちます!-PETIT IDOLM@STER-》是以《偶像大师》中登场的人物们以及与少女们存在着几分相似点的迷之生物""ぷちどる""们的闲散日常为背景描写的治愈系4格漫画。由明音绘制的四格漫画「变小!-小小的偶像大师-」，作为知名游戏「偶像大师」的派生作品，故事描写了765经纪公司的少女偶像们与不可思议的生物""迷你偶像""们的日常点滴。动画《迷你偶像（ぷちます！－PETIT IDOLM@STER－）》（又译《小小偶像大师》）是根据日本漫画家明音在《电击魔王》上连载的同名四格漫画改变的动画作品。在2012年9月23日的“东京电玩展2012”中宣布该作将动画化，同日动画官网开启。官方称本作的动画化是“小动画化（ぷちアニメ化）”，预定将于2013年1月1日起每周一到五在Animate TV和Niconico网络配信放送，每话2分钟","萌系,日常,泡面,治愈",",小雪步：浅倉杏美,春香桑：中村繪里子,弥：仁後真耶子,小律子：若林直美,小真美：下田麻美,小真：平田宏美,三浦桑：たかはし智秋,小伊织：釘宮理恵,千哈：今井麻美",",导演：まんきゅう,音乐：三澤康広,tertai,制作：電撃マオウ/メディアファクトリー,音乐制作：Fro,动画制作：GATHERING,tI,原作：BANDAINAMCOE,tierWorks"
109,"复仇者：世上最强英雄组合","https://www.bilibili.com/bangumi/play/ss109","http://i0.hdslb.com/bfs/bangumi/c574b150d2403e18580faaff68cca774cc2c2018.jpg",1287504000,"404.1万","12.7",9.6,"https://www.bilibili.com/bangumi/media/md109","复仇者动画：复仇者战队，复仇者，集结。复仇者电影以及预告片专题。","科幻,热血","",""
110,"犬神同学和猫山同学","https://www.bilibili.com/bangumi/play/ss110","http://i0.hdslb.com/bfs/bangumi/2deb0f41ddf2eda4c904c18e42355c6f1b2e8b6c.jpg",1397059200,"484.5万","22.5",9.7,"https://www.bilibili.com/bangumi/media/md110","故事围绕着高中一年级生犬神八千代，与同为女生的猫山铃之间的百合关系而展开。姓作犬神的八千代，实则是个萌猫咪的人；而性格更接近猫的猫山同学，则是萌狗的存在。某日，两人在命运的安排下邂逅并相知。之后每日你侬我侬，当初竖着毛抵触犬神的猫山同学变得愈加乖巧，而将她们两人凑合到一起的始作俑者柊木秋只剩下了吐槽的份。","日常,泡面,治愈",",猫山珠喜：原田ひとみ,柊木秋：大坪由佳,杜松美希音：堀野紗也加,犬神八千代：上坂すみれ,猿飞空：長弘翔子,猫山铃：東山奈央,牛若雪路：藤本葵,鸟饲云雀：山崎エリイ",",作画监督：みうらたけひろ/伊藤良太,演出：伊藤良太/永居慎平,脚本：永居慎平,导演：永居慎平,分镜：伊藤良太,原作：くずしろ,人物设定：みうらたけひろ"
111,"剑灵","https://www.bilibili.com/bangumi/play/ss111","http://i0.hdslb.com/bfs/bangumi/7ac9a11f87ddd6f474b79acf2d72dcc904aabca8.jpg",1396454400,"302.4万","9.9",8.0,"https://www.bilibili.com/bangumi/media/md111","女剑士Aruka身怀高超的剑术，以敏捷的身手消灭任何一个阻挡在她面前的敌人。洪师父的死，让她开始了这场“命中注定的复仇”。洪师父的仇人，是一位名叫秦义绝的魔女，她冷酷无情，杀人如麻，能随意掌控神秘的魔力——浊气。Aruka从小就被“剑刃一族”抚养长大，这个由杀手组成的组织抹杀了Aruka的感情，把她培养成了一个杀人机器，唯一的使命就是完成“工作”。若是说起无情，Aruka和秦义绝两人倒也不分上下。在旅途中，Aruka遇到了三位女杰。擅长歌舞与武术的秋湘玉，嗜酒的枪械师陈苏儿，盗贼团女头领花无痕。三人被奇妙的姻缘牵在一起，历经磨难，最终领悟了洪师父所说的洪门之路。洪门之路究竟为何？阿鲁卡的人生，又会有怎样的变化？","奇幻","秦义绝：悠木碧,幽兰：伊藤静,花无痕：高垣彩阳,安如香：高尾雪,忽雷：小山力也,秋湘玉：大原沙耶香,陈苏儿：雨宫天,华仲：井上麻里奈","总作画监督：長田絵里/清丸悟,脚本：古怒田健志/綿貫華世/久尾歩/石橋大助/冨岡淳広,动画制作：GONZO,演出：山内重保/信田ユウ/佐々木純人/下司泰弘,音响监督：森下広人,人物设定：長田絵里,作画监督：羽山淳一/熊田明子/樋口靖子,音乐：岩代太郎,导演：浜崎博嗣/竹内浩志,系列构成：冨岡淳広"
113,"我们大家的河合庄","https://www.bilibili.com/bangumi/play/ss113","http://i0.hdslb.com/bfs/bangumi/1c3da58352df66fd409831f7d5e13594c804144e.jpg",1396454400,"326.6万","52",9.7,"https://www.bilibili.com/bangumi/media/md113","就读高中一年级的男生——宇佐和成，因为父母调职的关系，住进了便宜且附有三餐的宿舍“河合庄”展开独居生活。在那里，他遇见了同样也住在这栋宿舍的单恋对象——河合律，而除了律之外，还要跟其他个人特色强烈的房客一同生活……。","日常,恋爱,校园",",路人：末柄里恵,河合住子：小林沙苗,河合律：花澤香菜,高橋未奈美,藤井ゆきよ,锦野麻弓：佐藤利奈,宇佐和成：井口祐一,渡边彩花：金元寿子,城崎：四宮豪","原作：宮原るり,,作画監督：深川可純/大木賢一/谷口繁則/山川宏治/小山知洋/梶浦紳一郎/小川浩司/河野真貴/栗田新一/江森真理子,麻弓MC：私の歌で少しでも私の不幸がうつれば幸いです,絵コンテ：中野英明/古賀一臣/吉川博明/米たにヨシトモ/浦野美桜/平野俊貴/室谷靖/宮/宮繁之,脚本：古怒田健志,导演：宮繁之,分镜：古賀一臣/米たにヨシトモ/吉川博明/平野俊貴/室谷靖/宮繁之,演出：寺澤伸介/中"
123,"宝石宠物 Tinkle☆（第二季）","https://www.bilibili.com/bangumi/play/ss123","http://i0.hdslb.com/bfs/bangumi/2f96e9cd782fc46066e51791304ce169d230db7e.jpg",1270224000,"246.7万","9.6",9.7,"https://www.bilibili.com/bangumi/media/md123","魔法国度的“宝石乐园”中，有一种将宝石放在身体里的生物——“宝石宠物”，宠物们日夜不停学习魔法。直到某一天，因宝石乐园的大扫除日子已到，为避免麻烦，宝石宠物皆被乐魔女变成“宝石护符”，并放置在沉睡森林中。而宝石宠物之中，最调皮捣乱的露比，因为讨厌藏在森林中，便悄悄地跑到海边去玩。后来在送往沉睡森林的路途中，却因为一道不知名的强风将宝石护符吹落并以流星的形式落往“人间界”。从海边回来的露比，感受到宝石乐园产生异变而前往皇宫，乐魔女等人为了找回这些宝石宠物，便让露比前往人间加以寻找，以作为她偷跑出去的惩罚。这时在人间界的宝石市中，国中生红玉铃子正好担任入学式时的致词人工作。那夜，不知如何是好的她，向天空的流星许下了愿望，没想到，那颗流星也刚好往铃子的身边飞去。而那颗流星正是变身成宝石护符的露比，从此露比和铃子成为好友和搭档，共同寻找宝石护符，而她们身旁也将会有许多新奇的事物在等着她们……","萌系,治愈,魔法",",欧帕露：沢城みゆき,萨菲：ささきのぞみ,露比：齋藤彩夏,卡内特：平野綾,贝莉多多：甲斐田ゆき","作画监督：野道佳代/烏宏明,分镜：山本靖貴/宮崎なぎさ/稲垣隆行/三沢伸/渡部穏寛/臼田美夫,系列构成：島田満,人物原案：伊部由起子/宮川知子,动画制作：スタジオコメット,脚本：江夏由結,原作：サンリオ/セガトイズ,导演：山本天志,制作：ジュエルペット製作委員会,原画：時永宜幸/山川浩臣"
124,"宝石宠物 Sunshine（第三季）","https://www.bilibili.com/bangumi/play/ss124","http://i0.hdslb.com/bfs/bangumi/10a862403b8a6e32bb16e66dccc67af7c24c6c1a.jpg",1302278400,"42.1万","1.4",7.3,"https://www.bilibili.com/bangumi/media/md124","魔法国度的“宝石乐园”中，有一种将宝石放在身体里的生物——“宝石宠物”，宠物们日夜不停学习魔法。直到某一天，因宝石乐园的大扫除日子已到，为避免麻烦，宝石宠物皆被乐魔女变成“宝石护符”，并放置在沉睡森林中。而宝石宠物之中，最调皮捣乱的露比，因为讨厌藏在森林中，便悄悄地跑到海边去玩。后来在送往沉睡森林的路途中，却因为一道不知名的强风将宝石护符吹落并以流星的形式落往“人间界”。从海边回来的露比，感受到宝石乐园产生异变而前往皇宫，乐魔女等人为了找回这些宝石宠物，便让露比前往人间加以寻找，以作为她偷跑出去的惩罚。这时在人间界的宝石市中，国中生红玉铃子正好担任入学式时的致词人工作。那夜，不知如何是好的她，向天空的流星许下了愿望，没想到，那颗流星也刚好往铃子的身边飞去。而那颗流星正是变身成宝石护符的露比，从此露比和铃子成为好友和搭档，共同寻找宝石护符，而她们身旁也将会有许多新奇的事物在等着她们……","萌系,治愈,魔法",",水城花音：松嵜麗,萨菲：ささきのぞみ,安洁拉：豊崎愛生,卡内特：平野綾,露比：齋藤彩夏,蓝泽晶子：沢城みゆき,拉布拉：沢城みゆき,白石御影：田丸篤志,浅香日向：豊崎愛生","e,分镜：稲垣隆行/宮崎なぎさ/三沢伸/森脇真琴/石踊宏/川崎逸朗/平田智浩/大久保政雄,人物设定：宮川知子/藤田まり子,shi,作画监督：本田辰雄/野道佳代,导演：稲垣隆行,音响监督：岩浪美和,摄影监督：五十嵐慎一/鎌田克明,原作：サンリオ・セガトイズ,音乐：浜口史郎"
125,"宝石宠物 Kira☆Deko!（第四季）","https://www.bilibili.com/bangumi/play/ss125","http://i0.hdslb.com/bfs/bangumi/943d9d07b34bdc8cb64b141f584b6bef9561324a.jpg",1333814400,"51.4万","1.5",0.0,"https://www.bilibili.com/bangumi/media/md125","住在“宝石乐园”的“宝石小镇”的露比是个有点冒失却又活泼的小兔子。她最近热衷于“宝石Deco（装饰）”，借此也开了一家名为“闪亮闪亮小店”。露比和聪明的莎菲、时髦的卡内特、以及为巡逻城镇而在家自成的警察——拉布拉和安祖娜，一起过著和平的日子。rr有一天，露比等人在“宝石乐园的传说”连环图中，得知了在世界各处流传的“镜之球”传说，过去因遭遇陨石的袭击，而碎裂并散落到世界各处。听说那是世界上最漂亮的宝石“Deco”，它可让人跳出传说中最快乐的舞蹈！rr为了实现这个愿望，露比等人使用了许多方法去加以寻找。意外的，空中却降下了自称为“Kira-Deco Five”的五人组。难道，他们就是为了拯救不断被黑暗所覆盖的人类世界，为寻找传说中的宝石“Deco Stone”而来到宝石乐园的正义英雄？！","萌系,治愈","",""
162,"罗德岛战记","https://www.bilibili.com/bangumi/play/ss162","http://i0.hdslb.com/bfs/bangumi/78c3ff291eaac7f2d87086cc36b5cae7cb5888cc.jpg",646671600,"96万","7.4",9.6,"https://www.bilibili.com/bangumi/media/md162","《罗德斯岛战记》是著名奇幻作家水野良的作品。魔神战争结束后三十年，马莫皇帝贝鲁特率领暗黑骑士和魔兽大军，迅速攻陷卡诺王国，向神圣王国瓦利斯进军，罗德斯岛烽烟再起。","时泪,奇幻,神魔,架空",",蒂德莉特：冬馬由美,碧罗蒂丝：玉川砂記子,帕恩：草尾毅,ギム：坂口芳貞",",人物原案：出渕裕,导演：永丘昭典,分镜：川崎博嗣/片山一良/りんたろう,音乐：萩田光男,原作：安田均/水野良,人物设定：結城信輝"
